"","id","condition","version","trial","type","cue1","cue2","y","criterion","response","RT"
"1",1,"NegPos",1,1,"l1",-66,14,1057,57,-30,11138.436
"2",1,"NegPos",1,2,"l1",-86,61,1151,94,20,6592.3728
"3",1,"NegPos",1,3,"l1",-57,45,1215,64,62,4640.4514
"4",1,"NegPos",1,4,"l1",-26,22,1237,22,9,4182.3939
"5",1,"NegPos",1,5,"l1",-9,-3,1243,6,5,3325.929
"6",1,"NegPos",1,6,"l1",74,-17,1180,-63,-12,4052.961
"7",1,"NegPos",1,7,"l1",-70,18,1243,63,45,5198.1555
"8",1,"NegPos",1,8,"l1",5,65,1272,29,-42,11750.8668
"9",1,"NegPos",1,9,"l1",93,-25,1184,-88,72,10834.9369
"10",1,"NegPos",1,10,"l1",-53,-46,1205,21,9,6602.1525
"11",1,"NegPos",1,11,"l1",39,-88,1140,-65,-35,7793.9224
"12",1,"NegPos",1,12,"l1",-21,-28,1145,5,-9,6343.4288
"13",1,"NegPos",1,13,"l1",67,99,1130,-15,11,8813.0492
"14",1,"NegPos",1,14,"l1",85,-58,1041,-89,-14,4590.7187
"15",1,"NegPos",1,15,"l1",74,18,988,-53,-32,2788.1496
"16",1,"NegPos",1,16,"l1",24,-45,952,-36,-9,21002.5846
"17",1,"NegPos",1,17,"l1",-97,35,1048,96,52,5347.4598
"18",1,"NegPos",1,18,"l1",41,59,1037,-11,31,5965.0165
"19",1,"NegPos",1,19,"l1",34,-1,1010,-27,-12,6064.714
"20",1,"NegPos",1,20,"l1",-29,99,1074,64,79,12388.4729
"21",1,"NegPos",1,21,"l1",-7,94,1120,46,86,5656.2063
"22",1,"NegPos",1,22,"l1",-72,-94,1139,19,-24,13065.7551
"23",1,"NegPos",1,23,"l1",69,70,1112,-27,2,9072.207
"24",1,"NegPos",1,24,"l1",-54,62,1185,73,40,4899.7324
"25",1,"NegPos",1,25,"l1",15,-30,1161,-24,-9,5467.1998
"26",1,"NegPos",1,26,"l1",-51,93,1240,79,35,11631.6833
"27",1,"NegPos",1,27,"l1",67,60,1210,-30,19,6055.0845
"28",1,"NegPos",1,28,"l1",-53,-97,1213,3,-27,7040.6091
"29",1,"NegPos",1,29,"l1",-14,-12,1222,9,2,9032.4862
"30",1,"NegPos",1,30,"l1",76,44,1176,-46,-10,10874.8766
"31",1,"NegPos",1,31,"l1",-5,45,1200,24,25,4630.6908
"32",1,"NegPos",1,32,"l1",97,9,1126,-74,-82,7857.477
"33",1,"NegPos",1,33,"l1",-61,-87,1138,12,-29,13663.3985
"34",1,"NegPos",1,34,"l1",12,47,1148,10,-24,5118.2515
"35",1,"NegPos",1,35,"l1",-9,-58,1128,-20,29,3933.6992
"36",1,"NegPos",1,36,"l1",-76,15,1193,65,73,7548.6585
"37",1,"NegPos",1,37,"l1",-66,31,1261,68,75,6233.8232
"38",1,"NegPos",1,38,"l1",50,3,1219,-42,-38,10118.0837
"39",1,"NegPos",1,39,"l1",31,-8,1188,-31,-42,4640.5505
"40",1,"NegPos",1,40,"l1",-3,29,1204,16,28,10954.8254
"41",1,"NegPos",1,41,"l1",52,99,1203,-1,51,6014.9888
"42",1,"NegPos",1,42,"l1",-93,78,1303,100,100,7359.4832
"43",1,"NegPos",1,43,"l1",75,33,1255,-48,-32,7349.5067
"44",1,"NegPos",1,44,"l1",-1,-86,1224,-31,-79,5278.0835
"45",1,"NegPos",1,45,"l1",-8,41,1240,16,51,12229.5026
"46",1,"NegPos",1,46,"l1",85,64,1199,-41,-26,7140.5573
"47",1,"NegPos",1,47,"l1",75,30,1151,-48,-37,2519.2493
"48",1,"NegPos",1,48,"l1",22,-40,1119,-32,-49,4491.3404
"49",1,"NegPos",1,49,"l1",6,55,1133,14,30,3475.3918
"50",1,"NegPos",1,50,"l1",-95,-2,1209,76,27,5995.1527
"51",1,"NegPos",1,51,"l1",30,49,1210,1,9,4630.8136
"52",1,"NegPos",1,52,"l1",-80,-70,1248,38,9,6493.0181
"53",1,"NegPos",1,53,"l1",-65,3,1297,49,34,15506.0716
"54",1,"NegPos",1,54,"l1",9,-12,1286,-11,-2,4650.6925
"55",1,"NegPos",1,55,"l1",-19,-45,1285,-1,-17,4262.3209
"56",1,"NegPos",1,56,"l1",-80,86,1383,98,100,5218.2961
"57",1,"NegPos",1,57,"l1",-19,-17,1395,12,3,8146.3449
"58",1,"NegPos",1,58,"l1",11,-47,1367,-28,-15,15525.8169
"59",1,"NegPos",1,59,"l1",10,-86,1330,-37,-65,5108.8029
"60",1,"NegPos",1,60,"l1",-93,-7,1403,73,27,7339.531
"61",1,"NegPos",1,61,"l1",-39,55,1455,52,92,10167.9312
"62",1,"NegPos",1,62,"l1",-33,87,1519,64,100,6782.0396
"63",1,"NegPos",1,63,"l1",-13,71,1560,41,50,2907.8262
